Campaign,Negative keyword,Match type
All,job,Phrase
All,vacancy,Phrase
All,career,Phrase
All,internship,Phrase
All,salary,Phrase
All,used,Phrase
All,second hand,Phrase
All,cheap,Phrase
All,diy,Phrase
All,homemade,Phrase
All,pdf,Phrase
All,free,Phrase
All,manual,Phrase
All,formula,Phrase
All,meaning,Phrase
All,wikipedia,Phrase
All,youtube,Phrase
All,game,Phrase
All,manga,Phrase
All,comic,Phrase
All,course,Phrase
All,training,Phrase
All,certificate download,Phrase
All,iso standard pdf,Phrase
All,calibration course,Phrase
All,calibration training,Phrase
All,repair only,Phrase
