Campaign,Negative keyword,Match type
SEA - Thailand Indonesia Testing Machine,job,Phrase
SEA - Thailand Indonesia Testing Machine,vacancy,Phrase
SEA - Thailand Indonesia Testing Machine,career,Phrase
SEA - Thailand Indonesia Testing Machine,internship,Phrase
SEA - Thailand Indonesia Testing Machine,salary,Phrase
SEA - Thailand Indonesia Testing Machine,course,Phrase
SEA - Thailand Indonesia Testing Machine,training,Phrase
SEA - Thailand Indonesia Testing Machine,pdf,Phrase
SEA - Thailand Indonesia Testing Machine,manual,Phrase
SEA - Thailand Indonesia Testing Machine,free,Phrase
SEA - Thailand Indonesia Testing Machine,diy,Phrase
SEA - Thailand Indonesia Testing Machine,youtube,Phrase
SEA - Thailand Indonesia Testing Machine,wikipedia,Phrase
SEA - Thailand Indonesia Testing Machine,meaning,Phrase
SEA - Thailand Indonesia Testing Machine,experiment,Phrase
SEA - Thailand Indonesia Testing Machine,lab report,Phrase
